transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status
4001,1112,Jasmine Carlson,106,80000,sofa,Furniture,offline,Delhi,12-18-2025,2,Cash,0.1,JasmineCarlson@gmail.com,8286662057,successful
4002,1125,Jeanne Suarez,105,45000,Tv,Electronics,online,Mumbai,07-08-2025,3,Card,0.1,JeanneSuarez@yahoo.com,6435924212,successful
4003,1379,Anthony Howard,107,50000,Dining table,FURN,offline,Delhi,09-19-2025,2,Cash,0.3,Anthony42@gmail.com,8187928333,successful
4004,1570,John Wilkins,107,50000,DINING TABLE,FURN,offline,Delhi,20-11-2025,2,Cash,0.4,JohnWilkins@outlook.com,6440039629,successful
4005,1433,Joseph Knapp,108,15000,Mixer grinder,home appliances,online,Bangalore,29-09-2025,5,Cash,0.25,JosephKnapp@gmail.com,9284221237,successful
4006,1307,George Hall,101,250000,LAPTOP,electronics,offline,Bangalore,25-05-2025,3,Card,0.4,GeorgeHall@outlook.com,6322986907,successful
4007,1911,Marc Morales,108,,Mixer grinder,home appliances,online,Delhi,03-28-2026,3,Card,0.15,MarcMorales@outlook.com,9957234459,successful
4008,1435,Jeffrey Wood,108,15000,MIXER GRINDER,HOME,offline,Hyderabad,21-12-2025,3,NetBanking,0.3,Jeffrey39@gmail.com,7235895289,successful
4009,1366,Kimberly Stevenson,103,1300,SHIRT,CLOTH,online,Bangalore,09-16-2025,1,Cash,0.2,KimberlyStevenson@yahoo.com,8744500653,successful
4010,1428,James Mccoy,107,50000,DINING TABLE,FURN,online,Bangalore,11-26-2025,4,Cash,0.3,JamesMccoy@gmail.com,6657573377,successful
4011,1778,Joseph Tucker,110,45000,Microwave,home appliances,online,Hyderabad,06-22-2025,3,NetBanking,0.05,Joseph7@gmail.com,7919275067,successful
4012,1572,Linda Cummings,103,1300,shirt,CLOTH,offline,Hyderabad,07-07-2025,3,Cash,0.3,LindaCummings@yahoo.com,7393053694,successful
4013,1764,Lisa Matthews,107,50000,DINING TABLE,FURN,offline,Mumbai,11-21-2025,4,Cash,0.4,LisaMatthews@outlook.com,7467829611,successful
4014,1320,Ryan Jacobs,102,70000,phone,electronics,offline,Chennai,27-08-2025,5,Cash,0.35,RyanJacobs@yahoo.com,7999181600,successful
4015,1153,Thomas Sanchez,108,15000,MIXER GRINDER,home appliances,offline,Mumbai,05-04-2026,2,NetBanking,0.2,ThomasSanchez@gmail.com,8453332082,successful
4016,1213,David Davis,109,65000,refrigerator,Home Appliances,online,Delhi,06-01-2025,4,UPI,0.1,David35@gmail.com,7505973849,successful
4017,1125,Jeanne Suarez,106,80000,sofa,furniture,offline,Mumbai,07-01-2026,2,NetBanking,0.15,JeanneSuarez@yahoo.com,6435924212,successful
4018,1086,Samuel George,108,15000,Mixer grinder,home appliances,online,Delhi,07-08-2025,3,UPI,0.4,SamuelGeorge@yahoo.com,8255402595,successful
4019,1857,Kyle Kennedy,106,,Sofa,FURN,online,Mumbai,04-12-2025,5,NetBanking,0.05,KyleKennedy@gmail.com,6762660800,successful
4020,1811,Rita Hamilton,101,250000,laptop,Electronics,offline,Hyderabad,04-16-2026,5,UPI,0.4,RitaHamilton@outlook.com,6893566574,successful
4021,1351,Scott Martinez,109,,refrigerator,HOME,online,Hyderabad,16-08-2025,1,UPI,0.35,Scott12@gmail.com,8243432829,successful
4022,1407,Laura Adams,106,80000,sofa,furniture,offline,Bangalore,07-05-2025,5,Cash,0.15,Laura22@gmail.com,6091087968,successful
4023,1534,Matthew Harrington,102,70000,phone,Electronics,offline,Delhi,04-02-2026,3,Card,0.05,MatthewHarrington@yahoo.com,7693815786,successful
4024,1365,Patrick Preston,103,1300,shirt,CLOTH,offline,Delhi,17-09-2025,1,UPI,0.25,PatrickPreston@gmail.com,6008328001,successful
4025,1262,Jessica Hawkins,109,,refrigerator,HOME,online,Delhi,02-26-2026,1,NetBanking,0.4,Jessica10@gmail.com,7358197977,successful
4026,1825,Mary Malone,108,15000,MIXER GRINDER,home appliances,offline,Delhi,03-08-2025,2,UPI,0.3,MaryMalone@outlook.com,7014367480,successful
4027,1548,Christina Porter,104,8000,shoes,Clothing,offline,Hyderabad,28-01-2026,2,UPI,0.3,ChristinaPorter@yahoo.com,7741683259,successful
4028,1321,Daniel Taylor,106,80000,sofa,furniture,offline,Hyderabad,10-12-2025,2,UPI,0.1,DanielTaylor@gmail.com,6991123962,successful
4029,1752,Ryan Heath,103,1300,Shirt,Clothing,online,Hyderabad,18-12-2025,3,NetBanking,0.2,RyanHeath@yahoo.com,9419114340,successful
4029,1752,Ryan Heath,103,1300,Shirt,Clothing,online,Hyderabad,18-12-2025,3,NetBanking,0.2,RyanHeath@yahoo.com,9419114340,failed
4030,1770,Daniel Lester,110,45000,microwave,home appliances,offline,Chennai,22-01-2026,4,Card,0.25,DanielLester@gmail.com,7236956411,successful
4031,1932,Eric Mitchell,107,50000,DINING TABLE,Furniture,online,Hyderabad,02-05-2025,2,Card,0.4,Eric4@gmail.com,7366480400,successful
4032,1142,Joseph Chavez,101,250000,Laptop,ELEC,online,Hyderabad,23-08-2025,4,NetBanking,0.25,Joseph16@gmail.com,7465534291,successful
4033,1171,William Orr,110,45000,microwave,HOME,online,Bangalore,12-02-2026,2,NetBanking,0.05,William85@gmail.com,9397572479,successful
4034,1663,Michael Holder,109,65000,REFRIGERATOR,HOME,offline,Chennai,22-01-2026,5,Card,0.05,MichaelHolder@outlook.com,8148441732,successful
4035,1182,Nancy Jones,106,,Sofa,furniture,offline,Delhi,23-07-2025,4,NetBanking,0.1,NancyJones@outlook.com,9983956538,successful
4036,1753,Laura Dougherty,104,8000,shoes,clothing,online,Chennai,19-04-2025,1,NetBanking,0.3,LauraDougherty@outlook.com,9370374117,successful
4037,1034,Laura Landry,108,15000,mixer grinder,HOME,online,Mumbai,07-04-2026,5,UPI,0.05,LauraLandry@yahoo.com,7998918246,successful
4038,1169,Randy Stevens,110,45000,Microwave,HOME,online,Bangalore,09-01-2025,4,NetBanking,0.15,Randy77@gmail.com,7259808019,successful
4039,1504,Matthew Byrd,104,8000,SHOES,clothing,offline,Delhi,03-02-2026,3,UPI,0.2,MatthewByrd@outlook.com,7558816218,successful
